Date,Open,High,Low,Close,Volume
2012-01-01,4.84,4.84,4.84,4.84,10.0
2012-01-02,5.0,5.0,5.0,5.0,10.1
2012-01-03,5.0,5.32,5.0,5.29,107.08528092
2012-01-04,4.93,5.57,4.93,5.57,107.23326023000001
2012-01-05,5.72,6.46,5.72,6.42,70.32874237
2012-01-06,6.43,6.9,6.4,6.4,55.8558336
2012-01-07,6.3,6.8,6.0,6.8,2.79585799
2012-01-08,6.9,6.9,6.9,6.9,4.0
2012-01-09,7.0,7.0,6.36,6.48,64.8693229
2012-01-10,6.35,7.1,6.23,7.1,60.69194096
2012-01-11,7.14,7.33,6.25,7.0,93.32697324
2012-01-12,7.0,7.38,6.51,6.51,98.93163181
2012-01-13,6.8,7.36,6.7,6.9,33.62682051
2012-01-14,6.7,7.34,6.4,6.4,27.94332433
2012-01-15,6.3,7.15,6.3,7.15,20.9353007
2012-01-16,6.2,7.1,6.2,7.1,12.64929577
2012-01-17,6.5,6.9,6.5,6.9,11.246376810000001
2012-01-18,6.4,7.1,5.99,7.1,202.71440055
2012-01-19,5.52,7.0,5.52,6.01,158.46598447
2012-01-20,6.07,6.95,6.07,6.95,184.07583311
2012-01-22,6.3,6.83,6.03,6.83,162.03488544
2012-01-23,6.79,6.79,6.0,6.52,95.57062909
2012-01-24,6.52,6.57,6.0,6.55,85.44624147
2012-01-25,6.26,6.86,6.0,6.0,80.7232564
2012-01-26,6.31,6.31,6.27,6.27,16.75896173
2012-01-27,5.91,6.3,3.8,5.88,105.64010172
2012-01-28,4.91,4.91,4.91,4.91,0.25
2012-01-29,5.89,5.9,5.89,5.9,1.8548464299999998
2012-01-30,5.3,5.58,5.3,5.58,22.38
2012-01-31,5.58,6.22,5.55,5.55,104.71833334
2012-02-01,3.8,6.0,3.8,5.99,13.55244574
2012-02-02,5.54,6.26,5.54,6.26,123.58263763000001
2012-02-03,6.2,6.35,5.93,6.29,283.38210612
2012-02-04,6.3,6.5,5.94,6.5,67.69499409
2012-02-05,5.94,5.94,5.7,5.7,49.86668412
2012-02-06,6.15,6.15,5.2,5.9,26.36207817
2012-02-07,5.6,5.88,5.5,5.51,151.42474559000001
2012-02-08,5.69,5.79,5.66,5.66,57.96134674
2012-02-09,5.67,5.87,5.51,5.87,102.19951034
2012-02-10,5.87,5.89,5.8,5.88,202.9255289
2012-02-11,5.71,5.71,5.5,5.5,1.8794878
2012-02-12,5.78,5.78,5.55,5.55,34.6
2012-02-13,5.55,5.79,5.5,5.79,130.02787142
2012-02-14,5.2,5.8,4.56,4.56,123.83811213
2012-02-15,4.89,5.08,4.69,4.69,72.2959875
2012-02-16,4.5,4.98,4.15,4.98,94.61323754
2012-02-17,4.8,4.8,4.5,4.69,262.18826113
2012-02-18,4.72,4.73,4.14,4.38,252.88296387
2012-02-19,4.23,4.38,4.23,4.38,97.68354434
2012-02-20,4.72,4.72,4.4,4.4,248.54444348
2012-02-21,4.41,4.54,4.3,4.53,411.35990367
2012-02-22,4.51,4.58,4.46,4.57,58.87620649
2012-02-23,4.57,5.0,4.51,5.0,376.57464815
2012-02-24,5.0,5.22,5.0,5.12,400.41279154
2012-02-25,5.22,5.22,4.95,5.0,126.17775678999999
2012-02-26,4.79,5.07,4.78,4.96,29.2
2012-02-27,5.03,5.1,4.95,5.1,310.75231411
2012-02-28,5.04,5.1,4.71,4.71,358.30227545
2012-02-29,5.04,5.04,4.85,4.99,292.44719845
2012-03-01,4.99,5.05,4.9,5.03,242.94781426
2012-03-02,5.02,5.02,4.64,4.79,335.92023816
2012-03-03,4.81,4.99,4.6,4.65,125.91831513999999
2012-03-04,4.78,4.81,4.77,4.81,113.60841529999999
2012-03-05,4.8,5.0,4.77,5.0,341.1867003
2012-03-06,4.94,5.06,4.94,4.99,214.97053983
2012-03-07,5.03,5.09,4.98,5.01,607.38873958
2012-03-08,5.09,5.09,4.87,5.0,315.34447305000003
2012-03-09,5.03,5.07,4.95,5.07,306.23962038
2012-03-10,5.01,5.01,4.85,4.94,121.24892826
2012-03-11,4.94,5.0,4.84,5.0,24.68252609
2012-03-12,4.85,4.98,4.85,4.98,104.65346353
2012-03-13,4.99,5.32,4.96,5.28,723.76606321
2012-03-14,5.25,5.44,5.25,5.27,1144.73937297
2012-03-15,5.27,5.43,5.27,5.37,588.9555446400001
2012-03-16,5.38,5.39,5.27,5.39,182.43484486
2012-03-17,5.4,5.42,5.26,5.42,163.34873287000002
2012-03-18,5.41,5.42,5.24,5.24,379.63915352000004
2012-03-19,5.36,5.37,4.97,4.97,264.57868601
2012-03-20,4.96,4.99,4.8,4.8,416.95535546
2012-03-21,4.95,4.96,4.79,4.96,55.76862903
2012-03-22,4.86,4.98,4.79,4.8,281.88118084
2012-03-23,4.78,4.98,4.6,4.78,507.65999869999996
2012-03-24,4.72,4.72,4.72,4.72,0.7
2012-03-25,4.72,4.84,4.54,4.54,206.31208124
2012-03-26,4.6,4.68,4.54,4.68,63.66455997
2012-03-27,4.75,4.97,4.54,4.73,363.18985534
2012-03-28,4.77,4.95,4.72,4.87,423.28450509
2012-03-29,4.82,4.93,4.77,4.77,46.57341797
2012-03-30,4.85,4.91,4.76,4.88,228.08447863
2012-03-31,4.9,4.92,4.89,4.92,153.98004768
2012-04-01,4.9,4.9,4.77,4.89,312.89960073
2012-04-02,4.8,5.04,4.78,5.03,872.82662744
2012-04-03,5.04,5.04,4.86,4.95,117.46626534
2012-04-04,4.97,5.01,4.86,4.91,432.33188182
2012-04-05,4.96,5.04,4.89,4.9,170.51246242000002
2012-04-06,5.0,5.0,4.81,4.98,923.7964141
2012-04-07,4.94,4.99,4.7,4.7,273.84568497
2012-04-08,4.73,4.8,4.69,4.76,180.23400867
2012-04-09,4.7,4.85,4.7,4.85,58.55832457
2012-04-10,4.75,4.87,4.75,4.8,414.81763742
2012-04-11,4.86,4.88,4.78,4.88,262.08034761
2012-04-12,4.88,4.92,4.73,4.86,693.21181584
2012-04-13,4.87,4.95,4.81,4.89,1010.84555161
2012-04-14,4.91,5.01,4.86,4.98,740.63893854
